21/6/2019-17:52:32:865	 User_id:1030231192761552900	Name:▫연슈▫	 User Name:_YeonShu_17_
21/6/2019-17:52:32:875	 User_id:2238727268	Name:Captain Malaysia	 User Name:zainalrshid
21/6/2019-17:52:32:877	 User_id:506263730	Name:FAYRE🌻	 User Name:KylaBurrus_
21/6/2019-17:54:46:848	 User_id:402393795	Name:kanesato	 User Name:zhoujieruan
21/6/2019-17:54:46:899	 User_id:972839578888421400	Name:Emersyn	 User Name:emersynwithluv
21/6/2019-17:54:46:913	 User_id:772102689962459100	Name:Imanol Ahijado Rubio	 User Name:ImanolAhijado
21/6/2019-17:54:46:925	 User_id:891035066754846700	Name:Tinmar'	 User Name:M2canter
21/6/2019-17:54:46:932	 User_id:2289495685	Name:Waterstones L1 Teen	 User Name:YaLiverpool1
21/6/2019-17:54:46:939	 User_id:704421997	Name:nongtennarak	 User Name:melofy_
21/6/2019-17:54:46:946	 User_id:163696497	Name:nrเอิ้กๆ	 User Name:PraEwmyEH
21/6/2019-17:54:46:966	 User_id:1014395163471298600	Name:STREAM JUST US 2 | what a life ❤ D-1	 User Name:sehuwuuun
21/6/2019-17:54:47:282	 User_id:21755787	Name:Prof. Karen Masters 💫⭐️✨	 User Name:KarenLMasters
21/6/2019-17:54:47:291	 User_id:437595697	Name:Nochu🐰	 User Name:BerrocalMaria
21/6/2019-17:54:47:295	 User_id:1032204629495439400	Name:chloé	 User Name:HAIZONIKA
21/6/2019-17:54:47:301	 User_id:151156569	Name:Moesha Mitchell 🦄🍭	 User Name:4everKeisha_
21/6/2019-17:54:47:318	 User_id:272569363	Name:Robin Morrison	 User Name:robinmmorrison
21/6/2019-17:54:48:248	 User_id:4022487560	Name:一 hayden. ❜	 User Name:opscquivm
21/6/2019-17:54:48:257	 User_id:1003378857519480800	Name:✨ city lights	 User Name:ohsidbbh
21/6/2019-17:54:48:263	 User_id:701145796922646500	Name:jasmin ♡	 User Name:rainbowchul
21/6/2019-17:54:48:272	 User_id:328604012	Name:luna 🌜	 User Name:rishima_
21/6/2019-17:54:48:274	 User_id:90895776	Name:Dike Nugroho AM	 User Name:dikeijo
21/6/2019-17:54:48:278	 User_id:1152906844022743000	Name:🐸	 User Name:whocouldbeassed
21/6/2019-17:54:48:281	 User_id:894823418	Name:Ana	 User Name:AnaLeticiaOrtg
21/6/2019-17:54:48:286	 User_id:4817221155	Name:Joe Regina	 User Name:JFR4Music
21/6/2019-17:56:17:37	 User_id:815898573522907100	Name:scarlet	 User Name:noScarthistime
21/6/2019-17:56:17:70	 User_id:817028939633852400	Name:ದೀಪ್ತಿ | studying!	 User Name:seokflwer
21/6/2019-17:56:17:76	 User_id:1008735253664591900	Name:Rosa Alcivar	 User Name:RosaAlcivar11
21/6/2019-17:56:17:80	 User_id:1012089957207461900	Name:mono 🦑 !!!🎈🎈	 User Name:guppy_pon
21/6/2019-17:56:17:83	 User_id:1070342747465359400	Name:A refugee looking for safety	 User Name:AlhaddadAhsan
21/6/2019-17:56:17:86	 User_id:740641262362038300	Name:But Seriously	 User Name:Xshnargloth_II
21/6/2019-17:56:17:92	 User_id:738409234975588400	Name:Jake Johnson	 User Name:JakeJohnson1209
21/6/2019-17:56:17:99	 User_id:517226114	Name:William L	 User Name:WDLKD
21/6/2019-17:56:17:104	 User_id:815755014	Name:Gemma Roberts	 User Name:MissRobertsPCSA
21/6/2019-17:56:17:840	 User_id:939337357781762000	Name:im here for you for me and for love	 User Name:high_bryce
21/6/2019-17:56:17:845	 User_id:801553322012540900	Name:Intentionally offensive	 User Name:OffensiveAndIDC
21/6/2019-17:56:17:848	 User_id:415701410	Name:Debbie Kemp	 User Name:DebbieKemp2
21/6/2019-17:56:17:850	 User_id:2462086309	Name:W̶i̶l̶f̶	 User Name:Wilfamura
21/6/2019-17:56:17:887	 User_id:349629895	Name:тѕυмι	 User Name:shuumeitoaraba
21/6/2019-17:56:17:900	 User_id:957276867874103300	Name:WANGPUPPY🌻	 User Name:tieejs
21/6/2019-17:56:17:903	 User_id:844130274615083000	Name:syaah	 User Name:syaayow
21/6/2019-17:56:17:907	 User_id:1122271147616292900	Name:Ybe_Cee	 User Name:CeeYbe
21/6/2019-17:56:17:911	 User_id:1059962133763575800	Name:WINNING WITH TRUMP	 User Name:laffmyassoff1
21/6/2019-17:56:17:913	 User_id:15082809	Name:💚Francisca Cárcamo Rojas😻📚✍️	 User Name:panchulei
21/6/2019-17:56:17:917	 User_id:84862540	Name:Min ❤ 😼	 User Name:changwoncat
21/6/2019-17:56:17:919	 User_id:1049074941830856700	Name:Ryan	 User Name:ryangoIdy8
21/6/2019-17:56:17:928	 User_id:983237334824116200	Name:Braun	 User Name:Basilkml0
21/6/2019-17:56:17:930	 User_id:26472334	Name:SFactor #ShuttrumpDown	 User Name:StellaFactor
21/6/2019-17:56:18:854	 User_id:1147056487589486600	Name:Hiền Trần	 User Name:HienTran712
21/6/2019-17:56:18:864	 User_id:909974285460037600	Name:Ursa	 User Name:yoursaur
21/6/2019-17:56:18:868	 User_id:834041190	Name:Pmates	 User Name:PmatesGirls
21/6/2019-17:56:18:872	 User_id:37824825	Name:David	 User Name:LowBrassDude93
21/6/2019-17:56:18:877	 User_id:1073852411255484400	Name:fansé	 User Name:cryingbabysss
21/6/2019-17:56:18:883	 User_id:3695779997	Name:Kryle	 User Name:Kzorbz34
21/6/2019-17:56:18:898	 User_id:1130690325641482200	Name:norah	 User Name:Iswearimot7
21/6/2019-17:56:18:903	 User_id:922661984251842600	Name:asher- look at my pinned	 User Name:asherxtea
21/6/2019-17:56:18:907	 User_id:826935772695691300	Name:Sem Nome	 User Name:semnomesafado
21/6/2019-17:56:18:909	 User_id:847353850528800800	Name:mia	 User Name:miahrmn
21/6/2019-17:56:18:911	 User_id:353744012	Name:jas loves koo ✩ 7	 User Name:vocalmyg
21/6/2019-17:56:18:915	 User_id:423548376	Name:Josh Bennett	 User Name:Kal_Eldaraan
21/6/2019-17:56:20:93	 User_id:4776179564	Name:namia	 User Name:batangburuq
21/6/2019-17:56:20:96	 User_id:48833947	Name:Elaine Smith	 User Name:esmith1947
21/6/2019-17:56:20:99	 User_id:1132662145571860500	Name:LISA STARS	 User Name:LISASTARS7
21/6/2019-17:56:20:102	 User_id:1117441304168820700	Name:♔	 User Name:takkenallah
21/6/2019-17:56:20:107	 User_id:828438490291400700	Name:matt🤠 @ SDCC	 User Name:plantteaful
21/6/2019-17:56:20:113	 User_id:3179969915	Name:catbird 51	 User Name:HedgeCarolyn
21/6/2019-17:56:21:162	 User_id:1142334854509391900	Name:Kiano💛Jaja	 User Name:KianoLang
21/6/2019-17:56:21:173	 User_id:3220299348	Name:Siti Rohana	 User Name:ana_bahrom
21/6/2019-17:56:21:177	 User_id:946928253402415100	Name:N	 User Name:WrdPn
21/6/2019-17:56:21:180	 User_id:955690601554440200	Name:Joseph Morgantini	 User Name:JosephMorganti2
21/6/2019-17:56:21:183	 User_id:3238865927	Name:Gregory	 User Name:emmanuelatheka1
21/6/2019-17:56:21:185	 User_id:952120802354147300	Name:AI Crash Test Dummy 🇪🇺	 User Name:JensenSbj
21/6/2019-17:56:21:187	 User_id:806240002514554900	Name:Global solutionist	 User Name:GSolutionist
21/6/2019-17:56:21:190	 User_id:1113933549936181200	Name:🇬🇭That FrafraGirl 🌻❤	 User Name:AmogreA
21/6/2019-17:56:21:196	 User_id:1019686147759493100	Name:K W A M S	 User Name:1realkwame_
21/6/2019-17:56:21:201	 User_id:1147888362856038400	Name:Lanana	 User Name:Lanana59810715
21/6/2019-17:56:22:757	 User_id:1064503416859385900	Name:sxlwxxx	 User Name:sxlwxxx1
21/6/2019-17:56:22:762	 User_id:238897771	Name:anation_sp	 User Name:anationSP
21/6/2019-17:56:22:768	 User_id:799415594651099100	Name:Scribbled Pages	 User Name:ScribbledPages1
21/6/2019-17:56:22:770	 User_id:918545536613081100	Name:akinrelereanthony	 User Name:akinrelereanth1
21/6/2019-17:56:22:774	 User_id:241919851	Name:Max Leighton	 User Name:Max_Leighton
21/6/2019-17:56:22:776	 User_id:1038574930126942200	Name:texas voter	 User Name:lesagre66751588
21/6/2019-17:56:22:778	 User_id:133293383	Name:[GA] love you 3000-ℓ	 User Name:avecBBH
21/6/2019-17:56:22:800	 User_id:2189022064	Name:SHELLS	 User Name:wyatt_queen
21/6/2019-17:56:22:806	 User_id:1136220332602187800	Name:y/m	 User Name:mecrylament
21/6/2019-17:56:22:809	 User_id:2565119527	Name:Kiran Nadar Museum	 User Name:KNMAIndia
21/6/2019-17:56:22:816	 User_id:771055346521628700	Name:Amani ~🌵~	 User Name:yixinglayz
21/6/2019-17:56:22:818	 User_id:111404377	Name:Julian	 User Name:cfus89
21/6/2019-17:56:22:820	 User_id:1085092183	Name:Peter Haag	 User Name:peterhaag86
21/6/2019-17:56:24:191	 User_id:918336883419111400	Name:𝓥𝓮𝓻𝓸𝓷 ✨	 User Name:_notyourmaria
21/6/2019-17:56:24:199	 User_id:920936805842632700	Name:lady ♡	 User Name:baekhyunanamin
21/6/2019-17:56:24:203	 User_id:1141377258847965200	Name:jinguji jakurai, m.d.	 User Name:JingujiMD
21/6/2019-17:56:24:209	 User_id:600987123	Name:ℋ𝑒𝓁𝓁𝑜 𝒜𝓊𝑔𝓊𝓈𝓉	 User Name:LovePCY_HMY
21/6/2019-17:56:24:210	 User_id:813839387393925100	Name:Krishna Prakash	 User Name:Krishna_6495
21/6/2019-17:56:24:214	 User_id:590324062	Name:Craig Kolobow	 User Name:CraigKolobow
21/6/2019-17:56:24:220	 User_id:985402696114098200	Name:dumb bitch energy	 User Name:namjingle
21/6/2019-17:56:24:223	 User_id:885828292703436800	Name:msdayang	 User Name:dygnrsyfqh
21/6/2019-17:56:24:225	 User_id:3828518775	Name:DerbyshirePromotions	 User Name:derbyshireprom1
21/6/2019-17:56:24:226	 User_id:942836649632858100	Name:smw	 User Name:silkiestmaria
