loc_id:524d8b85498e78a126e29ad4	loc_name:Palma Centro Histórico	loc_lat:39.56978201151354	loc_lng:2.64981169100614	loc_postCode:undefined	loc_country_code:ES	loc_country:España	 loc_state:Islas Baleares	loc_city:Palmacat_id:4deefb944765f83613cdba6e	cat_name:Historic Site
loc_id:4dac1a7c6e81162ae7fa09a5	loc_name:The More Lounge	loc_lat:22.57177231568859	loc_lng:120.33989281110327	loc_postCode:81252	loc_country_code:TW	loc_country:臺灣	 loc_state:undefined	loc_city:高雄市cat_id:4bf58dd8d48988d1eb931735	cat_name:Airport Terminal
loc_id:4f2dfa2de4b04297f7e85036	loc_name:International Terminal (國際航廈)	loc_lat:22.5713187881773	loc_lng:120.34044310837338	loc_postCode:812	loc_country_code:TW	loc_country:臺灣	 loc_state:undefined	loc_city:小港區cat_id:4bf58dd8d48988d1eb931735	cat_name:Airport Terminal
loc_id:4f9d62c9e4b008dde271da9d	loc_name:Terasa Perla	loc_lat:46.176926569629074	loc_lng:21.322953064496414	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:undefined	loc_city:undefinedcat_id:4bf58dd8d48988d116941735	cat_name:Bar
loc_id:556f4537498eedd7a84c06f0	loc_name:Club Nerv - Terasa	loc_lat:46.17703134647158	loc_lng:21.32412417840463	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:undefined	loc_city:undefinedcat_id:4bf58dd8d48988d116941735	cat_name:Bar
loc_id:4f7f0fb7e4b043dab4c871b1	loc_name:Râul Mureș	loc_lat:46.17505501601713	loc_lng:21.322433689063985	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:Arad	loc_city:Aradcat_id:4eb1d4dd4b900d56c88a45fd	cat_name:River
loc_id:507c0531e4b04c2b98a27384	loc_name:Vasile Goldis /Sala sport	loc_lat:46.177308	loc_lng:21.323684	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:undefined	loc_city:undefinedcat_id:4bf58dd8d48988d130941735	cat_name:Building
loc_id:4c3df71f80bc20a10859aa58	loc_name:Irish Pub	loc_lat:46.17736392159054	loc_lng:21.320416959684557	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:undefined	loc_city:undefinedcat_id:4bf58dd8d48988d11b941735	cat_name:Pub
loc_id:4c79507a566db60c0575440e	loc_name:Flex - Strandul Neptun	loc_lat:46.17523	loc_lng:21.321513	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:undefined	loc_city:undefinedcat_id:4bf58dd8d48988d117941735	cat_name:Beer Garden
loc_id:4dd7851a52b1a5c6444e6a49	loc_name:Ștrandul Neptun	loc_lat:46.17537691981423	loc_lng:21.32580872567441	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:Arad	loc_city:Aradcat_id:4bf58dd8d48988d15e941735	cat_name:Pool
loc_id:50051654e4b0fce97142a8fc	loc_name:BNP Scantee Costin	loc_lat:46.17766049765903	loc_lng:21.322567615516494	loc_postCode:undefined	loc_country_code:RO	loc_country:România	 loc_state:undefined	loc_city:undefinedcat_id:4bf58dd8d48988d124941735	cat_name:Office
